"Id";"Designador";"Pacote";"Quantidade";"Designação";"Fornecedor e referência";
1;"Q2";"TO-220-3_Vertical";1;"TIC226";;;
2;"AC";"TerminalBlock_bornier-2_P5.08mm";1;"TerminalBlock_bornier-2_P5.08mm";;;
3;"S11";"ArduinoUNO_Shield";1;"ArduinoUNO_Shield";;;
4;"U1";"DIP762W48P254L889H508Q6";1;"MOC3010M";;;
5;"TH1";"PinSocket_1x02_P2.54mm_Vertical";1;"NTC10";;;
6;"SW1";"PinSocket_1x02_P2.54mm_Vertical";1;"SW_DIP_x01";;;
7;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k5";;;
8;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"470";;;
9;"R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10k";;;
10;"Q1";"TO-92_Inline";1;"BC547";;;
11;"R4(Aquecedor)1";"TerminalBlock_bornier-2_P5.08mm";1;"128";;;
12;"U1A1A1";"DIP794W45P254L959H508Q8";1;"LM358P";;;
13;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"220";;;
